Symbol	Enrty	Stop
AIRE	1.04	0.44
BZUN	4.18	3.5
CNK	27.12	25.89
DOMO	15.87	14.62
EDU	51.72	48.71
ERO	16.05	14.91
FCEL	5.49	4.03
GCTK	8.46	4.33
GME	23.9	22.56
GRO	2.38	1.87
HYPD	10.64	6.13
IMPP	4.06	3.48
INOD	53.96	43.31
MFC	31.24	30.51
MSGS	205.37	196.65
NGLOY	16.48	15.33
NRG	156.04	144.79
QSG	9.8	7.81
SONN	4.63	2.98
TECK	38.44	34.31
VIVS	3.31	2.29
WOLF	1.78	1.21
WTF	5.67	4.33
