TAOX,SecondDayPlayLong,long,7.99,7.5,9.6
ASPI,SecondDayPlayLong,long,12.25,11.01,14.05
WWR,SecondDayPlayLong,long,2.39,2.13,3.48
BITF,SecondDayPlayLong,long,4.92,4.41,5.89
ELOG,SecondDayPlayLong,long,2.78,2.5,2.6
CRML,ATRBreakoutShort,short,30.25,38.29,29.97
UAMY,ATRBreakoutShort,short,19.5,25.06,17.47
ABAT,ATRBreakoutShort,short,10.81,14.56,11.33
NAK,ATRBreakoutShort,short,2.93,3.89,2.76
WWR,ATRBreakoutShort,short,2.89,3.84,3.48
FAST,ATRBreakoutLong,long,41.52,36.73,42.75
FMCC,ATRBreakoutLong,long,10.44,8.39,9.82
