date,orb_high,orb_low,short_leg_strike,short_leg_right,short_leg_mid,long_leg_strike,long_leg_right,long_leg_mid,net_credit,entry_time,exit_time,exit_type,hold_minutes,true_pnl
2026-05-04,7226.48,7214.77,7240.0,P,12.3,7235.0,P,9.9,240.0,10:30,16:00,expired,330,-260.0
2026-05-05,7249.51,7237.65,7265.0,P,11.8,7260.0,P,9.4,240.0,11:15,14:15,profit_target,180,120.0
2026-05-06,7319.35,7302.41,7325.0,P,14.6,7320.0,P,12.3,230.0,10:00,10:39,profit_target,39,120.0
2026-05-07,7376.77,7364.99,7390.0,P,12.9,7385.0,P,10.4,250.0,11:00,16:00,expired,300,-250.0
2026-05-08,7377.76,7367.12,7430.0,P,37.4,7425.0,P,42.7,-530.0,10:00,16:00,expired,360,-1030.0
