IRDM,ATRBreakoutLong,long,18.03,13.13,17.81
WING,ATRBreakoutLong,long,278.33,232.28,280.65
CNTA,ATRBreakoutShort,short,21.67,26.44,22.71
RZLV,ATRBreakoutShort,short,5.9,7.55,6.25
DNTH,SecondDayPlayLong,long,33.39,30.2,37.9
EPSM,SecondDayPlayLong,long,51.15,25.86,40.41
NKTR,SecondDayPlayLong,long,46.15,43.45,48.18
BXP,Second_Day_Short,short,73.51,75.0,73.18
NXT,Second_Day_Short,short,67.32,70.32,67.59
PAPL,Second_Day_Short,short,6.06,6.87,5.79
SHLS,Second_Day_Short,short,6.92,7.2,6.88
