Symbol	Enrty	Stop
CELC	44.87	25.18
TME	21.95	16.64
TPB	81.84	55.52
DAN	17.53	13.36
FUTU	148.36	83.7
AHR	39.77	35.11
WWW	24.2	16.56
VIK	57.35	47.45
ASLE	7.2	4.86
FSS	114.83	95.39
CUK	24.94	19.04
CCL	27.27	20.53
BKE	51.92	40.43
SYF	67.36	54.54
PFGC	98.67	86.04
VC	109.24	86.33
PHIN	51	41.12
CBRE	149.05	128.81
NMRK	16.67	13.15
VBTX	30.03	24.34
CWK	14.39	11.16
ATMU	42.31	35.62
HLIO	46.4	34.21
INSW	42.74	34.35
LVS	48.97	38.73
MATV	9.51	6.07
