AMBO,SecondDayPlayLong,long,5.18,4.61,5.75
SUGP,SecondDayPlayLong,long,8.77,7.8,9.15
SERV,SecondDayPlayLong,long,16.22,14.68,14.9
SYRE,SecondDayPlayLong,long,19.58,17.65,19.14
PATH,SecondDayPlayLong,long,17.47,16.19,17.05
EXK,Second_Day_Short,short,8.03,8.62,7.66
USAU,Second_Day_Short,short,17.93,18.7,17.6
ORLA,Second_Day_Short,short,11.13,11.6,11.01
TE,ATRBreakoutShort,short,4.16,5.16,3.64
BYRN,ATRBreakoutShort,short,28.65,34.64,26.36
GRND,ATRBreakoutLong,long,11.99,10.07,11.96
MNKD,ATRBreakoutLong,long,4.86,3.9,4.88
RDNT,ATRBreakoutLong,long,71.4,64.07,70.6
CHRW,ATRBreakoutLong,long,127.07,117.38,125.31
WAL,ATRBreakoutLong,long,77.99,68.85,74.93
