ITRI,ATRBreakoutLong,long,102.37,72.87,100.33
DVA,ATRBreakoutLong,long,115.57,102.59,119.02
FND,ATRBreakoutLong,long,63.28,54.98,62.48
WERN,ATRBreakoutLong,long,23.85,21.55,26.2
GCI,ATRBreakoutShort,short,5.57,7.14,5.3
VTYX,ATRBreakoutShort,short,9.04,12.16,8.53
CALX,ATRBreakoutShort,short,71.13,79.8,68.42
GPCR,ATRBreakoutShort,short,33.23,38.49,33.32
ROIV,ATRBreakoutShort,short,19.98,21.86,19.99
CMPR,SecondDayPlayLong,long,69.25,61.84,69.21
RKLB,Second_Day_Short,short,63.04,65.18,62.98
ALHC,Second_Day_Short,short,18.53,18.2,16.86
