1,11,ATOM,2025-10-13 12:12:12-0400,SLD,904.0,4.31,4.69
2,22,DFLI,2025-10-13 12:12:12-0400,SLD,2962.0,1.27,15.37
3,33,DNA,2025-10-13 12:12:12-0400,SLD,284.0,13.82,1.48
4,44,LKNCY,2025-10-23 12:12:12-0400,SLD,102.0,39.43,1.02
5,55,PFE,2025-10-14 12:12:12-0400,SLD,156.0,24.65,1.03
6,66,AHR,2025-10-13 12:12:12-0400,SLD,98.0,40.09,1.02
7,77,CUK,2025-10-13 12:12:12-0400,SLD,154.0,25.79,1.02
8,88,LIND,2025-10-14 12:12:12-0400,SLD,327.0,11.51,1.7
9,99,TPB,2025-10-23 12:12:12-0400,SLD,46.0,87.51,1.01
10,1010,WWW,2025-10-14 12:12:12-0400,SLD,162.0,24.82,1.03
11,1111,FSFG,2025-10-13 12:12:12-0400,SLD,125.0,30.01,1.02
12,1212,LXEO,2025-10-09 12:12:12-0400,SLD,563.0,8.02,2.6
13,1313,SLDB,2025-10-09 12:12:12-0400,SLD,628.0,6.03,3.26
14,1414,WTTR,2025-10-07 12:12:12-0400,SLD,363.0,10.66,1.89
15,1414,XGN,2025-10-10 12:12:12-0400,SLD,358.0,10.83,1.86
