Symbol	Enrty	Stop
ABVE	2.27	1.56
ACIU	3.41	2.81
ARVN	8.96	8.15
ATOM	4.42	3.78
DFLI	1.35	0.528
DNA	14.07	11.59
EVAX	4.63	3.7
FMS	26.17	25.52
GSIT	4.33	3.57
HQL	15.37	14.89
IBTA	28.55	26.97
IMTX	8.59	7.73
LKNCY	39.21	37.3
PALI	1.29	0.8134
PFE	25.62	23.64
PLUG	3.1	2.19
PRGS	44.41	41.89
PSNL	6.69	5.95
QSR	66.54	64.11
SPCE	3.87	3.33
SRPT	20.59	18.14
THQ	17.57	16.83
TSHA	4.13	3.1
