CLPT,SELL,1700099266,PreSubmitted,1700099267,PreSubmitted,1700099268,PreSubmitted
CLPT,BUY,1700099269,PreSubmitted,1700099270,PreSubmitted,1700099271,PreSubmitted
CRNX,SELL,1700099272,PreSubmitted,1700099274,PreSubmitted,1700099275,PreSubmitted
CRNX,BUY,1700099273,Filled,1700099276,PreSubmitted,1700099277,PreSubmitted
CRVS,SELL,1700099284,PreSubmitted,1700099303,PreSubmitted,1700099304,PreSubmitted
CRVS,BUY,1700099285,PreSubmitted,1700099305,PreSubmitted,1700099306,PreSubmitted
EFTY,SELL,8791,,8792,,8793,
EFTY,BUY,8794,,8795,,8796,
SRRK,SELL,1700099286,PreSubmitted,1700099307,PreSubmitted,1700099308,PreSubmitted
SRRK,BUY,1700099287,PreSubmitted,1700099309,PreSubmitted,1700099310,PreSubmitted
ARDX,BUY,1700099291,PreSubmitted,,,1700099314,PreSubmitted
DXYZ,BUY,1700099288,Filled,,,1700099311,PreSubmitted
MNSO,BUY,1700099289,PreSubmitted,,,1700099312,PreSubmitted
NITO,BUY,1700099290,PreSubmitted,,,1700099313,PreSubmitted
ARVN,SELL,1700099292,PreSubmitted,,,1700099315,PreSubmitted
MSGY,SELL,8813,,,,8814,
PPTA,SELL,1700099294,PreSubmitted,,,1700099317,PreSubmitted
RITR,SELL,8817,,,,8818,
SKYT,SELL,1700099296,Filled,,,1700099319,PreSubmitted
CAPR,BUY,1700099298,PreSubmitted,,,1700099321,PreSubmitted
COGT,BUY,1700099297,PreSubmitted,,,1700099320,PreSubmitted
DKI,BUY,1700099299,Filled,,,1700099322,PreSubmitted
MNMD,BUY,1700099300,PreSubmitted,,,1700099323,PreSubmitted
RLAY,BUY,1700099301,PreSubmitted,,,1700099324,PreSubmitted
BTQ,SELL,8831,,,,1700099325,Filled
POET,SELL,1700099326,PreSubmitted,,,1700099327,PreSubmitted
