ASTS,SELL,1966060990,Cancelled,1966060992,Cancelled,1966060993,Cancelled
ASTS,BUY,1966060991,Cancelled,1966060994,Cancelled,1966060995,Cancelled
TSHA,SELL,1966060996,Filled,1966061005,Cancelled,1966061006,Cancelled
TSHA,BUY,1966060997,Cancelled,1966061007,Cancelled,1966061008,Cancelled
USAR,SELL,1966060998,Filled,1966061009,Cancelled,1966061010,Cancelled
USAR,BUY,1966060999,Cancelled,1966061011,Cancelled,1966061012,Cancelled
CXW,BUY,1966061000,Cancelled,,,1966061014,Cancelled
MSGY,BUY,9139,,,,9140,
RXST,BUY,1966061001,Cancelled,,,1966061015,Cancelled
XP,BUY,1966061003,Cancelled,,,1966061016,Cancelled
BKKT,SELL,1966061084,Cancelled,,,1966061085,Cancelled
BQ,SELL,9147,,,,9148,
CLPT,SELL,1966061013,Filled,,,1966061020,PreSubmitted
CRSP,SELL,1966061019,Cancelled,,,1966061026,Cancelled
IVDA,SELL,1966061021,Cancelled,,,1966061029,Cancelled
PRME,SELL,1966061023,Cancelled,,,1966061031,Cancelled
RGTI,SELL,1966061022,Filled,,,1966061030,PreSubmitted
ARQT,BUY,1966061024,Filled,,,1966061032,PreSubmitted
BBBY,BUY,1966061027,Cancelled,,,1966061035,Cancelled
CRML,BUY,1966061028,Cancelled,,,1966061036,Cancelled
PCVX,BUY,1966061033,Cancelled,,,1966061037,Cancelled
QSR,BUY,1966061034,Cancelled,,,1966061038,Cancelled
RDW,BUY,1966061039,Cancelled,,,1966061044,Cancelled
RGNX,BUY,1966061040,Cancelled,,,1966061047,Cancelled
AES,SELL,1966061042,Cancelled,,,1966061050,Cancelled
APA,SELL,1966061043,Filled,,,1966061052,PreSubmitted
GDRX,SELL,1966061041,Cancelled,,,1966061049,Cancelled
HNRG,SELL,1966061045,Filled,,,1966061053,PreSubmitted
HPE,SELL,1966061046,Filled,,,1966061054,PreSubmitted
MXL,SELL,1966061048,Filled,,,1966061056,PreSubmitted
TSLA,SELL,1966061051,Cancelled,,,1966061057,Cancelled
WFRD,SELL,1966061055,Cancelled,,,1966061058,Cancelled
