Symbol	Enrty	Stop
HBNB	4.08	3.51
FGPR	17.49	15.21
CELZ	4.26	3.51
CTEV	63.07	54.68
PMTS	16.46	15.1
SWX	80.31	78.5
RBC	394.18	375.93
PTEN	6.16	5.51
AAL	12.87	11.87
NEGG	56.82	43
CYH	3.62	3.1
WYY	6.04	5.31
GTX	14.76	12.26
BIOA	6.68	5.26
BNR	10.62	8
AVY	172.58	159.73
NPKI	12.37	11.71
CLOV	3.31	2.73
EFXT	11.63	10.79
NOVT	118.03	105.8
