AMPY,pullback,long,5.31,2025-09-29,4.19,5.19
FLNC,pullback,long,10.7,2025-09-30,9.23,14.2
SRRK,pullback,long,34.61,2025-10-01,29.78,37.75
SLNH,pullback,long,2.15,2025-09-30,1.15,2.09
VET,pullback,long,8.05,2025-09-29,7.45,8.49
COLL,mean_reversion,long,33.84,2025-09-29,26.99,34.59
OSK,mean_reversion,long,128.26,2025-09-29,107.79,132.44
VITL,mean_reversion,long,41.15,2025-09-30,27.31,42.22
WEX,mean_reversion,long,158.09,2025-09-30,128.41,159.52
ECX,momo,long,2.2,2025-10-02,2.08,2.31
ETNB,momo,long,14.91,2025-10-02,14.41,14.88
ETSY,momo,long,65,2025-09-29,62.85,72.95
PML,momo,long,7.83,2025-09-30,7.77,7.88
