Symbol	Enrty	Stop
ALE	65.12	63.72
AM	19.09	18.42
AMPY	5.31	4.19
AQMS	5.88	3.73
BIP	31.98	30.72
CF	88.67	84.43
CRK	18.34	16.78
CTMX	2.54	1.98
EXE	101.51	96.12
FLNC	10.7	9.23
FLUX	3.18	2.52
FULC	8.11	7.21
HAL	23.76	22
IAS	9.34	8.39
IE	10.75	9.37
KINS	14.27	13.42
LAC	5.01	2.96
LBRT	11.82	10.69
LRMR	4.67	4.06
LXEO	6.05	4.95
MRVL	78.58	73.35
MYRG	188.44	176.76
NUAI	1.4	0.57
PDFS	24.09	21.92
PEPG	3.78	1.86
SPPP	13.04	12.4
SRRK	34.61	29.78
SLNH	2.15	1.15
TKNO	5.53	4.79
UTI	30.06	28.19
VEEV	282.3	272.26
VET	8.05	7.45
