SLNH,SELL,1990131889,Cancelled,1990131890,Cancelled,1990131891,Cancelled
SLNH,BUY,1990131892,Cancelled,1990131893,Cancelled,1990131894,Cancelled
VUZI,SELL,1990131895,Filled,1990131896,Cancelled,1990131897,Cancelled
VUZI,BUY,1990131898,Cancelled,1990131899,Cancelled,1990131900,Cancelled
RR,SELL,1990131901,Cancelled,1990131902,Cancelled,1990131903,Cancelled
RR,BUY,1990131904,Filled,1990131905,Cancelled,1990131906,Cancelled
UROY,SELL,1990131907,Cancelled,1990131908,Cancelled,1990131909,Cancelled
UROY,BUY,1990131910,Cancelled,1990131911,Cancelled,1990131912,Cancelled
PLUG,SELL,1990131913,Filled,1990131914,Cancelled,1990131915,Cancelled
PLUG,BUY,1990131916,Cancelled,1990131917,Cancelled,1990131918,Cancelled
APLD,SELL,1990131919,Cancelled,1990131920,Cancelled,1990131921,Cancelled
APLD,BUY,1990131922,Cancelled,1990131923,Cancelled,1990131924,Cancelled
AGH,BUY,8298,,,,8299,
COMP,BUY,1990131926,Cancelled,,,1990131927,Cancelled
TIGR,BUY,1990131928,Cancelled,,,1990131929,Cancelled
CHEF,BUY,1990131930,Cancelled,,,1990131931,Cancelled
Z,BUY,1990131932,Cancelled,,,1990131933,Cancelled
CELH,BUY,1990131934,Cancelled,,,1990131935,Cancelled
GO,BUY,1990131936,Cancelled,,,1990131937,Cancelled
WWW,BUY,1990131938,Cancelled,,,1990131939,Cancelled
USAC,BUY,1990131940,Cancelled,,,1990131941,Cancelled
VVV,BUY,1990131942,Cancelled,,,1990131943,Cancelled
ARBB,SELL,1990131944,Cancelled,,,1990131945,Cancelled
BETR,SELL,1990131946,Cancelled,,,1990131947,Cancelled
SKBL,SELL,8322,,,,8323,
GPRO,SELL,1990131950,Cancelled,,,1990131951,Cancelled
VTYX,BUY,1990131952,Cancelled,,,1990131953,Cancelled
ATOM,BUY,1990131954,Cancelled,,,1990131955,Cancelled
AXTI,BUY,1990131956,Filled,,,1990131957,Cancelled
SVM,BUY,1990131958,Cancelled,,,1990131959,Cancelled
AQST,SELL,1990131960,Filled,,,1990131961,Cancelled
ADVM,SELL,1990131962,Filled,,,1990131963,Filled
MGNI,SELL,1990131964,Cancelled,,,1990131965,Cancelled
NIO,SELL,1990131966,Filled,,,1990131967,Cancelled
M,SELL,1990131968,Filled,,,1990131969,Cancelled
TEM,SELL,8344,,,,8345,
OR,SELL,8346,,,,8347,
