AAP,ATRBreakoutLong,long,50.59,42.14,50.32
CARS,ATRBreakoutLong,long,10.67,8.93,10.67
GRND,ATRBreakoutLong,long,12.84,11.1,12.34
JEF,ATRBreakoutLong,long,52.82,43.93,53.01
RGNX,ATRBreakoutShort,short,12.71,15.16,12.17
ALNY,Second_Day_Short,short,457.09,464.46,456.95
CRK,Second_Day_Short,short,21.03,21.67,19.78
OUST,Second_Day_Short,short,32.44,34.27,30.85
ACXP,SecondDayPlayLong,long,7.34,6.34,7.44
ELBM,SecondDayPlayLong,long,2.04,1.68,1.89
HL,SecondDayPlayLong,long,12.78,12.21,12.79
RXRX,SecondDayPlayLong,long,5.75,5.19,5.91
