ANGI,ATRBreakoutLong,long,13.93,11.53,14.2
BTQ,ATRBreakoutShort,short,15.43,21.72,14.14
CCTG,ATRBreakoutShort,short,2.43,3.61,2.34
POET,ATRBreakoutShort,short,8.53,10.86,9.22
CCTG,SecondDayPlayLong,long,1.94,1.65,2.34
NCNA,SecondDayPlayLong,long,6.12,5.02,5.91
NVX,SecondDayPlayLong,long,1.85,1.5,1.93
NXXT,SecondDayPlayLong,long,2.55,2.22,2.75
TMC,SecondDayPlayLong,long,8.76,7.96,9.12
EVAX,Second_Day_Short,short,6.36,7.2,6.29
FLNC,Second_Day_Short,short,14.71,15.81,14.96
SANM,Second_Day_Short,short,133.07,142.5,134.68
