Symbol	Entry	Stop
LULU	310.71	297.98
PAYS	3.27	2.76
EVLV	4.91	4.16
EVEX	4.35	3.77
CYH	4.02	3.58
ACAD	20.56	16.86
ARRY	7.31	6.35
SPCE	4.45	3.10
AVY	179.95	176.28
EWCZ	4.67	3.76
CMPO	12.27	11.53
DK	17.4	15.82
QS	4.5	4.14
GCT	17.6	15.37
PCT	8.54	7.60
SFIX	4.08	3.76
CSX	30.62	29.75
BYON	5.73	4.62
GYRE	10.52	9.47
PSX	121.82	117.30
