PFAI,SecondDayPlayLong,long,3.26,3.01,3.55
TGEN,SecondDayPlayLong,long,10.99,9.9,10.36
RXRX,SecondDayPlayLong,long,6.42,6.01,6.36
ICHR,SecondDayPlayLong,long,22.31,21.27,22.73
ARRY,SecondDayPlayLong,long,9.9,9.43,8.77
NVA,Second_Day_Short,short,60.73,69.0,62.98
METC,Second_Day_Short,short,51.9,57.8,49.48
ZENA,Second_Day_Short,short,6.55,7.11,5.8
NVTS,ATRBreakoutShort,short,16.38,22.03,15.63
MVST,ATRBreakoutShort,short,6.82,8.88,6.4
IMNM,ATRBreakoutShort,short,17.04,20.85,16.49
HWC,ATRBreakoutLong,long,57.35,49.93,54.52
STAA,ATRBreakoutLong,long,24.57,21.72,24.26
