CXW,08:44:36,SLD,186,22.10,1.03
SMR,08:47:01,SLD,95,38.9,1.02
SYM,08:47:57,SLD,76,53.84,1.01
LAES,08:48:30,SLD,1049,3.99,5.44
QUBT,08:48:32,SLD,199,20.5,1.04
CLOV,08:48:34,SLD,1261,3.19,6.54
FLD,08:50:03,SLD,1033,3.76,5.36
WEX,08:51:16,SLD,24,158.53,1.0
SXT,08:45:01,SLD,39,93.99,1.0
