WWW,ATRBreakoutLong,24.63,,
BLDP,ATRBreakoutShort,3.75,,
EVAX,ATRBreakoutShort,5.77,,
KULR,ATRBreakoutShort,5.91,,
NB,ATRBreakoutShort,8.77,,
PLUG,ATRBreakoutShort,4.18,,
RR,ATRBreakoutShort,6.66,,
CAPR,Second_Day_Short,7.59,,
CLS,Second_Day_Short,240.22,,
CRSP,Second_Day_Short,70.83,,
DELL,Second_Day_Short,144.81,149.2,stop triggered
SKYT,Second_Day_Short,19.15,,
