ARES,ATRBreakoutLong,long,164.5,144.99,163.32
CRS,ATRBreakoutLong,long,229.3,206.93,232.4
GMRE,ATRBreakoutLong,long,32.56,26.69,32.77
HNGE,ATRBreakoutLong,long,51.83,41.05,51.25
ZYBT,ATRBreakoutLong,long,3.97,-1.2386,3.0
LAC,ATRBreakoutShort,short,6.7,9.07,7.37
TARA,ATRBreakoutShort,short,4.4,5.49,4.29
AQMS,SecondDayPlayLong,long,5.32,4.6,4.92
EWTX,SecondDayPlayLong,long,16.07,15.13,15.13
HOND,SecondDayPlayLong,long,16.93,15.78,15.79
LRMR,SecondDayPlayLong,long,4.74,4.26,4.86
SLNH,SecondDayPlayLong,long,2.82,2.13,2.94
ADPT,Second_Day_Short,short,13.3,13.88,13.13
LEU,Second_Day_Short,short,290.48,304.97,312.19
