TTMI,SecondDayPlayLong,long,60.64,59.26,61.98
AVGO,SecondDayPlayLong,long,379.84,373.19,376.47
UHS,SecondDayPlayLong,long,222.46,217.7,218.69
PPTA,Second_Day_Short,short,24.59,26.0,25.2
CRUS,Second_Day_Short,short,133.71,136.92,132.55
KEX,ATRBreakoutShort,short,106.29,120.47,104.33
WHD,ATRBreakoutShort,short,43.9,49.28,43.16
ETSY,ATRBreakoutLong,long,63.13,50.72,61.93
CAKE,ATRBreakoutLong,long,48.77,42.19,49.11
DUOL,ATRBreakoutLong,long,263.89,213.96,262.82
FOUR,ATRBreakoutLong,long,67.92,59.61,66.31
RHI,ATRBreakoutLong,long,26.74,22.86,26.56
