FCEL,ATRBreakoutShort,short,6.27,7.85,6.46
PTNM,ATRBreakoutShort,short,8.92,13.21,6.5
AVGO,SecondDayPlayLong,long,361.76,350.55,359.01
CORZ,SecondDayPlayLong,long,15.67,15.21,15.55
PTNM,SecondDayPlayLong,long,6.74,5.27,6.5
WYFI,SecondDayPlayLong,long,21.75,19.0,20.57
AMPX,Second_Day_Short,short,7.78,8.18,8.18
CELC,Second_Day_Short,short,58.45,61.14,57.43
FORD,Second_Day_Short,short,28.03,31.53,31.53
GCT,Second_Day_Short,short,28.95,30.12,29.07
GRAL,Second_Day_Short,short,36.55,37.71,37.71
