CNK,ATRBreakoutLong,long,26.38,23.57,26.31
SKY,ATRBreakoutLong,long,67.78,58.15,66.29
BZAI,ATRBreakoutShort,short,5.54,7.15,5.15
DVLT,ATRBreakoutShort,short,2.71,3.53,2.53
HIVE,ATRBreakoutShort,short,6.05,7.27,6.2
NNE,ATRBreakoutShort,short,59.0,74.26,56.63
CDTX,Second_Day_Short,short,100.96,105.57,102.17
DPRO,Second_Day_Short,short,10.34,11.37,10.64
SMTC,Second_Day_Short,short,71.3,73.06,70.91
AAOI,SecondDayPlayLong,long,31.44,28.4,31.33
AISP,SecondDayPlayLong,long,6.64,6.07,6.59
ARAI,SecondDayPlayLong,long,4.52,3.82,4.7
MFH,SecondDayPlayLong,long,32.75,28.72,32.01
NIU,SecondDayPlayLong,long,5.18,4.69,5.46
